Data lost, CRC error
[31813.678021] ....interrupt 0, value(0), time(14)
[31813.679032] ....interrupt 1, value(1), time(1016)
[31813.679046] ....interrupt 2, value(0), time(18)
[31813.679114] ....interrupt 3, value(1), time(67)
[31813.679196] ....interrupt 4, value(0), time(82)
[31813.679283] ....interrupt 5, value(0), time(87)
[31813.679330] ....interrupt 6, value(1), time(45)
[31813.679355] ....interrupt 7, value(0), time(25)
[31813.679410] ....interrupt 8, value(1), time(54)
[31813.679435] ....interrupt 9, value(0), time(25)
[31813.679490] ....interrupt 10, value(1), time(54)
[31813.679516] ....interrupt 11, value(0), time(25)
[31813.679571] ....interrupt 12, value(1), time(54)
[31813.679600] ....interrupt 13, value(0), time(29)
[31813.679673] ....interrupt 14, value(1), time(72)
[31813.679683] ....interrupt 15, value(0), time(11)
[31813.679731] ....interrupt 16, value(1), time(47)
[31813.679804] ....interrupt 17, value(0), time(73)
[31813.679857] ....interrupt 18, value(1), time(53)
[31813.679930] ....interrupt 19, value(0), time(72)
[31813.679998] ....interrupt 20, value(1), time(67)
[31813.680024] ....interrupt 21, value(0), time(26)
[31813.680078] ....interrupt 22, value(1), time(54)
[31813.680104] ....interrupt 23, value(0), time(26)
[31813.680158] ....interrupt 24, value(1), time(53)
[31813.680185] ....interrupt 25, value(0), time(26)
[31813.680238] ....interrupt 26, value(1), time(53)
[31813.680312] ....interrupt 27, value(0), time(73)
[31813.680366] ....interrupt 28, value(1), time(54)
[31813.680392] ....interrupt 29, value(0), time(26)
[31813.680446] ....interrupt 30, value(1), time(53)
[31813.680520] ....interrupt 31, value(0), time(73)
[31813.680574] ....interrupt 32, value(1), time(54)
[31813.680648] ....interrupt 33, value(0), time(73)
[31813.680701] ....interrupt 34, value(1), time(53)
[31813.680727] ....interrupt 35, value(0), time(25)
[31813.680794] ....interrupt 36, value(1), time(67)
[31813.680820] ....interrupt 37, value(0), time(26)
[31813.680874] ....interrupt 38, value(1), time(53)
[31813.680901] ....interrupt 39, value(0), time(26)
[31813.680955] ....interrupt 40, value(1), time(53)
[31813.680981] ....interrupt 41, value(0), time(26)
[31813.681035] ....interrupt 42, value(1), time(53)
[31813.681061] ....interrupt 43, value(0), time(26)
[31813.681115] ....interrupt 44, value(1), time(53)
[31813.681141] ....interrupt 45, value(0), time(26)
[31813.681195] ....interrupt 46, value(1), time(54)
[31813.681221] ....interrupt 47, value(0), time(26)
[31813.681275] ....interrupt 48, value(1), time(54)
[31813.681302] ....interrupt 49, value(0), time(26)
[31813.681355] ....interrupt 50, value(1), time(54)
[31813.681381] ....interrupt 51, value(0), time(25)
[31813.681448] ....interrupt 52, value(1), time(67)
[31813.681522] ....interrupt 53, value(0), time(73)
[31813.681576] ....interrupt 54, value(1), time(53)
[31813.681650] ....interrupt 55, value(0), time(73)
[31813.681704] ....interrupt 56, value(1), time(53)
[31813.681778] ....interrupt 57, value(0), time(73)
[31813.681831] ....interrupt 58, value(1), time(53)
[31813.681905] ....interrupt 59, value(0), time(73)
[31813.681959] ....interrupt 60, value(1), time(53)
[31813.682033] ....interrupt 61, value(0), time(73)
[31813.682087] ....interrupt 62, value(1), time(53)
[31813.682113] ....interrupt 63, value(0), time(26)
[31813.682167] ....interrupt 64, value(1), time(53)
[31813.682241] ....interrupt 65, value(0), time(73)
[31813.682295] ....interrupt 66, value(1), time(53)
[31813.682368] ....interrupt 67, value(0), time(72)
[31813.682432] ....interrupt 68, value(1), time(64)
[31813.682458] ....interrupt 69, value(0), time(26)
[31813.682512] ....interrupt 70, value(1), time(53)
[31813.682538] ....interrupt 71, value(0), time(26)
[31813.682592] ....interrupt 72, value(1), time(53)
[31813.682619] ....interrupt 73, value(0), time(26)
[31813.682673] ....interrupt 74, value(1), time(53)
[31813.682746] ....interrupt 75, value(0), time(73)
[31813.682800] ....interrupt 76, value(1), time(53)
[31813.682826] ....interrupt 77, value(0), time(26)
[31813.682881] ....interrupt 78, value(1), time(54)
[31813.682954] ....interrupt 79, value(0), time(73)
[31813.683008] ....interrupt 80, value(1), time(53)
[31813.683035] ....interrupt 81, value(0), time(26)
[31813.683088] ....interrupt 82, value(1), time(53)
[31813.683114] ....interrupt 83, value(0), time(25)
[31813.683140] humidity    = 3355.8
[31813.683145] temperature = 25.1
[31813.683148] crc error
